Team_Name,Team_Odds,Team_Wins,Team_Losses,Team_Status
Mount St. Mary’s,1.5,19,15,alive
New Orleans,-1.5,20,11,alive
Kansas State,1.0,20,13,alive
Wake Forest,-1.0,19,13,alive
N.C. Central,,25,8,alive
UC Davis,,22,12,alive
Providence,1.0,20,12,alive
Southern Cal,-1.0,24,9,alive
Notre Dame,-7.0,25,9,alive
Princeton,7.0,23,6,alive
Virginia,-8.5,22,10,alive
UNC Wilmington,8.5,29,5,alive
Butler,-11.0,23,8,alive
Winthrop,11.0,26,6,alive
Gonzaga,-22.5,32,1,alive
South Dakota,22.5,18,16,alive
West Virginia,-14.0,26,8,alive
Bucknell,14.0,26,8,alive
Florida,-10.0,24,8,alive
ETSU,10.0,27,7,alive
Minnesota,-1.0,24,9,alive
Middle Tennessee,1.0,30,4,alive
Northwestern,1.0,23,11,alive
Vanderbilt,-1.0,19,15,alive
Maryland,-2.0,24,8,alive
Xavier,2.0,21,13,alive
Villanova,,31,3,alive
Mount St. Mary’s-New Orleans,,,,alive
Saint Mary’s,,28,4,alive
VCU,,26,8,alive
Purdue,-8.5,25,7,alive
Vermont,8.5,29,5,alive
Florida State,-12.0,25,8,alive
Florida Gulf Coast,12.0,26,7,alive
Wisconsin,-5.0,25,9,alive
Virginia Tech,5.0,22,10,alive
Arizona,-16.5,30,4,alive
North Dakota,16.5,22,9,alive
Iowa State,-6.5,23,10,alive
Nevada,6.5,28,6,alive
Michigan,-2.0,24,11,alive
Oklahoma State,2.0,20,12,alive
Baylor,-2.0,25,7,alive
New Mexico State,2.0,28,5,alive
Arkansas,-1.0,25,9,alive
Seton Hall,1.0,21,11,alive
Oregon,-14.5,29,5,alive
Iona,14.5,22,12,alive
Louisville,-20.5,24,8,alive
Jacksonville State,20.5,20,14,alive
SMU,,29,4,alive
Providence-Southern Cal,,,,alive
North Carolina,,27,7,alive
Texas Southern,,23,11,alive
Creighton,-1.5,25,9,alive
Rhode Island,1.5,24,9,alive
Kansas,,28,4,alive
N.C. Central-UC Davis,,,,alive
Dayton,6.0,24,7,alive
Wichita State,-6.0,30,4,alive
Duke,-19.0,27,8,alive
Troy,19.0,22,14,alive
Cincinnati,,29,5,alive
Kansas State-Wake Forest,,,,alive
Miami,-2.0,21,11,alive
Michigan State,2.0,19,14,alive
Kentucky,-19.5,29,5,alive
Northern Kentucky,19.5,24,10,alive
South Carolina,-1.5,22,10,alive
Marquette,1.5,19,12,alive
UCLA,-18.0,29,4,alive
Kent State,18.0,22,13,alive
